mean_radius_cm,shrink_rate_cm_h
1.9365,0.254
1.8335000000000001,0.15799999999999992
1.7485,0.18199999999999994
1.6640000000000001,0.15600000000000014
1.6070000000000002,0.07199999999999962
1.5705,0.07400000000000029
1.5310000000000001,0.08400000000000007
1.4935,0.06599999999999984
1.4620000000000002,0.06000000000000005
1.4355,0.04600000000000026
1.4104999999999999,0.053999999999999826
1.3855,0.04599999999999982
1.365,0.03600000000000003
1.3465,0.038000000000000256
1.329,0.03200000000000003
1.316,0.020000000000000018
1.305,0.02400000000000002
1.295,0.016000000000000014
1.286,0.020000000000000018
1.277,0.016000000000000014
1.2694999999999999,0.01399999999999979
1.263,0.01200000000000001
1.2565,0.014000000000000234
1.2505,0.009999999999999787
1.246,0.008000000000000007
1.242,0.008000000000000007
1.2379999999999998,0.008000000000000007
1.2345,0.005999999999999783
1.231,0.008000000000000007
1.2275,0.006000000000000227
1.2245000000000001,0.005999999999999783
1.2220000000000002,0.0040000000000000036
1.22,0.0040000000000000036
1.2185000000000001,0.002000000000000224
1.217,0.0040000000000000036
1.2149999999999999,0.0040000000000000036
1.2135,0.0019999999999997797
1.2125000000000001,0.002000000000000224
1.2115,0.0019999999999997797
1.2105000000000001,0.002000000000000224
1.2095,0.0019999999999997797
1.2085000000000001,0.002000000000000224
1.2075,0.0019999999999997797
1.2065,0.002000000000000224
1.206,-0.0
1.2055,0.0019999999999997797
1.205,-0.0
1.2045,0.002000000000000224
1.204,-0.0
1.2035,0.0019999999999997797
1.203,-0.0
1.203,-0.0
1.203,-0.0
1.2025000000000001,0.002000000000000224
1.202,-0.0
1.202,-0.0
1.202,-0.0
1.202,-0.0
1.2015,0.0019999999999997797
1.201,-0.0
1.201,-0.0
1.201,-0.0
1.201,-0.0
1.201,-0.0
1.201,-0.0
1.201,-0.0
1.201,-0.0
1.201,-0.0
1.201,-0.0
1.2005,0.002000000000000224
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.2,-0.0
1.1995,0.0019999999999997797
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.199,-0.0
1.1985,0.002000000000000224
1.198,-0.0
1.198,-0.0
1.198,-0.0
1.198,-0.0
1.198,-0.0
1.198,-0.0
1.198,-0.0
1.198,-0.0
1.198,-0.0
1.198,-0.0
